id_publi	id_phd	author_order
299	6	2
668	6	1
669	6	3
670	6	2
671	6	4
672	6	2
673	6	12
681	6	3
682	6	1
683	6	3
684	6	2
686	6	5
687	6	2
688	6	7
1478	6	3
1531	6	13
1552	6	7
1856	6	1
2283	6	14
2453	6	2
2454	6	6
2455	6	1
2472	6	3
2473	6	1
2474	6	1
2475	6	1
2476	6	1
2477	6	2
2478	6	1
2479	6	2
2480	6	1
2481	6	2
2482	6	8
2483	6	6
2484	6	9
2485	6	1
2486	6	4
2487	6	13
2488	6	2
2489	6	8
2490	6	5
2491	6	2
2492	6	2
2493	6	9
2494	6	9
2495	6	5
2496	6	10
2497	6	7
2498	6	1
2499	6	5
2500	6	16
2501	6	1
2502	6	6
2503	6	5
2504	6	5
2505	6	2
2506	6	5
2507	6	7
2508	6	16
2509	6	9
2510	6	7
2511	6	5
2512	6	5
2513	6	7
2514	6	7
2515	6	5
2516	6	15
2517	6	1
2518	6	5
2519	6	16
2520	6	5
2521	6	3
2522	6	10
2523	6	16
2524	6	2
2525	6	4
2526	6	15
2527	6	1
2528	6	1
2548	6	8
1466	30	1
1467	30	1
1468	30	3
1469	30	1
1470	30	1
1471	30	1
1472	30	1
1473	30	1
2456	30	1
2457	30	6
2458	30	3
2459	30	3
2460	30	3
2461	4	1
581	32	17
582	32	144
661	32	4
1004	32	6
1005	32	13
1006	32	2
1013	32	15
1016	32	11
1017	32	5
1727	32	1
1728	32	1
1729	32	1
1730	32	1
1731	32	1
1900	32	1
1901	32	1
1902	32	2
1903	32	2
2200	32	1
2462	32	4
2463	32	8
2464	32	1
2465	32	2
2466	32	7
2467	32	1
2468	32	3
2469	32	3
2470	32	2
2471	32	4
3	7	1
5	7	3
6	7	3
7	7	1
9	7	1
10	7	1
11	7	3
13	7	6
14	7	7
15	7	2
16	7	1
17	7	1
18	7	1
19	7	1
20	7	1
22	7	1
23	7	1
24	7	1
30	7	2
31	7	1
32	7	2
33	7	1
34	7	1
35	7	3
667	7	49
1289	7	6
1732	7	1
1733	7	1
1734	7	1
1735	7	1
2336	7	2
2343	7	14
2482	7	6
2492	7	5
2509	7	11
2514	7	9
2518	7	7
2521	7	6
2525	7	7
2529	7	8
2530	7	3
2531	7	2
2532	7	2
2533	7	5
2534	7	5
2535	7	2
2555	7	1
699	18	1
2536	18	1
593	14	2
594	14	3
596	14	2
598	14	1
599	14	3
600	14	3
602	14	3
604	14	6
605	14	3
606	14	4
610	14	2
611	14	5
1888	14	7
2537	14	1
2538	14	3
2539	14	5
2540	14	5
2541	24	1
2542	19	1
2543	19	1
1050	28	6
2544	28	1
2545	28	1
2546	28	1
2547	28	1
122	3	2
150	3	1
151	3	2
275	3	4
302	3	3
1658	3	6
2250	3	1
2251	3	1
2316	3	2
2317	3	3
2319	3	1
2320	3	2
2548	3	9
2549	3	3
2550	3	1
2551	3	1
2552	3	1
1489	25	1
1591	25	1
1592	25	1
1593	25	1
1594	25	1
1595	25	1
1596	25	1
1597	25	2
2489	25	1
2553	25	5
2554	25	2
2555	25	8
2556	25	10
2557	25	10
2558	25	5
2559	25	5
2560	25	2
2561	25	5
2562	25	5
2572	25	1
364	9	3
465	9	3
467	9	2
470	9	3
472	9	2
473	9	2
474	9	1
475	9	1
476	9	1
477	9	1
478	9	1
479	9	2
480	9	3
481	9	2
483	9	1
484	9	2
485	9	1
706	9	1
707	9	6
710	9	2
711	9	2
712	9	2
713	9	2
714	9	2
715	9	2
716	9	1
717	9	1
718	9	1
720	9	1
724	9	4
725	9	2
726	9	2
727	9	2
728	9	1
731	9	9
732	9	6
734	9	2
735	9	4
736	9	1
739	9	2
740	9	2
741	9	2
746	9	2
749	9	2
750	9	2
751	9	2
753	9	1
754	9	8
758	9	30
759	9	2
765	9	2
767	9	1
768	9	2
769	9	1
772	9	1
786	9	1
796	9	1
820	9	2
823	9	1
824	9	2
827	9	4
829	9	4
900	9	4
2563	9	41
2564	9	41
1851	29	2
1852	29	1
1853	29	2
1854	29	1
1855	29	3
2144	29	6
2146	29	8
2149	29	6
2151	29	6
2565	29	3
2566	29	3
2567	29	3
363	15	7
365	15	5
366	15	7
369	15	6
421	15	13
423	15	13
424	15	1
442	15	6
443	15	5
446	15	9
447	15	7
448	15	1
449	15	9
450	15	3
451	15	1
452	15	4
1295	15	7
1296	15	8
1306	15	4
1310	15	4
1312	15	1
1313	15	1
1319	15	3
1320	15	2
1321	15	1
1322	15	1
1323	15	5
1325	15	1
1326	15	5
1331	15	5
2322	15	5
2568	15	8
2569	15	8
2570	15	1
2571	15	3
388	8	2
391	8	2
1380	8	3
1383	8	6
1466	8	11
1471	8	9
1472	8	3
1473	8	3
1925	8	2
1926	8	1
1927	8	1
1928	8	2
1929	8	1
1930	8	1
1931	8	8
1932	8	8
2140	8	4
2142	8	2
2147	8	2
2148	8	2
2181	8	2
2438	8	3
2573	8	5
2574	26	1
2575	26	3
1283	33	5
1285	33	7
1286	33	7
2576	33	5
2577	33	5
2578	33	1
2579	33	1
2580	33	4
2581	33	9
98	10	10
102	10	8
120	10	17
123	10	5
125	10	10
128	10	1
136	10	4
137	10	1
141	10	4
178	10	1
186	10	3
190	10	1
204	10	8
208	10	4
210	10	4
229	10	1
237	10	1
259	10	3
270	10	1
276	10	3
280	10	1
284	10	5
290	10	3
296	10	8
297	10	4
299	10	9
307	10	5
316	10	6
317	10	6
324	10	10
349	10	6
351	10	6
353	10	5
697	10	4
946	10	7
954	10	6
955	10	19
961	10	3
965	10	19
968	10	19
970	10	5
975	10	20
1493	10	1
1647	10	11
1648	10	8
1652	10	20
1839	10	2
1842	10	4
1845	10	2
1846	10	13
1847	10	2
1848	10	13
1849	10	13
2223	10	5
2308	10	6
2309	10	1
2310	10	4
2311	10	1
2312	10	4
2313	10	4
2548	10	7
2582	10	4
2583	10	6
2584	10	9
2585	10	4
2586	10	4
2587	10	5
2588	10	7
2589	10	3
2590	10	1
2591	10	1
2592	10	2
2593	10	4
2594	10	3
2595	10	4
2596	10	10
2597	10	10
2679	10	9
535	23	85
536	23	106
541	23	84
542	23	103
543	23	103
544	23	101
545	23	101
546	23	104
547	23	102
552	23	127
572	23	104
573	23	131
575	23	62
576	23	247
595	23	9
622	23	1
1448	23	10
1450	23	41
2599	23	1
261	22	1
1528	22	1
1639	22	2
1872	22	3
1873	22	3
2600	22	2
2601	22	2
2602	22	1
2603	22	1
2604	22	3
2605	22	4
2606	22	3
2607	22	1
1003	5	41
1013	5	62
1065	5	2
1067	5	49
1068	5	7
1070	5	3
1073	5	13
1074	5	47
1075	5	41
1076	5	64
1077	5	51
1078	5	10
1079	5	51
1085	5	12
1086	5	9
1155	5	20
1156	5	43
1157	5	31
1158	5	30
1159	5	21
1160	5	48
1161	5	35
1162	5	34
1163	5	31
1164	5	3
1165	5	27
1168	5	7
1171	5	1
1172	5	5
1176	5	3
1180	5	8
1181	5	8
1182	5	1
1186	5	2
1188	5	1
1193	5	1
1197	5	1
1200	5	1
1202	5	4
1208	5	1
1210	5	13
2140	5	8
2608	5	3
2609	5	3
2233	34	9
2234	34	1
2235	34	1
2236	34	1
2686	34	1
2687	34	1
535	17	102
536	17	128
537	17	123
538	17	126
539	17	131
540	17	144
541	17	101
542	17	129
543	17	127
544	17	127
545	17	126
546	17	131
547	17	127
548	17	131
549	17	128
550	17	127
551	17	150
552	17	164
554	17	143
572	17	130
573	17	157
574	17	131
575	17	61
576	17	307
580	17	61
581	17	67
582	17	99
590	17	4
591	17	3
1448	17	15
1450	17	51
2610	17	4
2611	17	4
2612	17	3
2613	17	3
2614	17	4
2615	17	3
2616	17	2
2617	17	2
2618	17	4
2619	17	2
2620	17	1
2621	17	1
2622	17	1
2623	17	2
2624	17	1
2625	17	2
2631	17	2
2634	17	12
102	2	10
946	2	9
2604	2	2
2606	2	2
2626	2	31
2627	2	7
536	27	144
580	27	68
581	27	72
582	27	35
590	27	2
592	27	1
593	27	4
594	27	5
596	27	4
659	27	8
1067	27	54
1069	27	45
2628	27	10
2629	27	45
2630	27	1
2631	27	9
2632	27	26
2633	27	3
2635	27	8
2636	27	25
2637	27	9
2638	27	31
2639	27	26
2640	27	3
2641	27	1
2642	27	1
2643	27	6
2644	27	1
2645	27	40
2646	27	3
2647	27	4
2648	27	21
2649	27	14
2650	27	3
1013	11	76
1065	11	5
1066	11	59
1068	11	4
1070	11	46
1071	11	48
1072	11	58
1073	11	27
1074	11	56
1075	11	47
1076	11	75
1077	11	19
1078	11	9
1079	11	19
1103	11	48
1104	11	48
1105	11	56
1106	11	38
1107	11	8
1154	11	12
1168	11	1
1169	11	9
1170	11	2
1173	11	1
1174	11	1
1175	11	9
1177	11	10
1178	11	1
1181	11	9
1182	11	11
1183	11	1
1185	11	1
1187	11	7
1189	11	1
1190	11	1
1192	11	1
1195	11	6
1199	11	1
1271	11	6
2609	11	1
2651	11	3
2652	11	2
2653	11	1
2654	11	1
2655	11	2
2656	11	49
2657	11	46
2658	11	55
2659	11	48
2660	11	44
2661	11	45
2662	11	52
1765	21	1
1774	21	1
1775	21	10
2663	21	1
661	16	14
1056	16	1
1057	16	1
1058	16	1
1059	16	1
1727	16	3
1729	16	5
1730	16	5
1731	16	5
2463	16	1
2471	16	11
2664	16	2
2665	16	1
2666	16	1
365	35	2
366	35	4
367	35	1
368	35	1
442	35	7
443	35	2
448	35	2
450	35	4
453	35	1
454	35	1
457	35	1
458	35	1
459	35	1
461	35	3
462	35	2
463	35	1
2322	35	2
2667	35	2
2668	35	2
2669	35	1
2670	35	1
2216	20	1
2671	20	3
700	1	4
701	1	3
702	1	1
878	1	3
894	1	21
902	1	2
906	1	3
907	1	1
2672	1	1
2673	1	2
1766	31	1
1795	31	13
1796	31	7
1798	31	1
1799	31	3
1800	31	3
1801	31	1
1802	31	2
2674	31	17
2675	31	4
2676	31	1
2677	31	1
123	13	7
174	13	8
185	13	1
230	13	1
231	13	1
294	13	1
302	13	5
318	13	1
340	13	1
346	13	1
926	13	7
929	13	7
946	13	10
954	13	2
961	13	6
970	13	20
1504	13	4
1507	13	1
1508	13	4
1510	13	2
1551	13	6
1553	13	2
1562	13	2
1569	13	6
1839	13	16
1842	13	13
2678	13	5
2679	13	16
2680	13	5
2681	13	6
2682	13	10
2683	13	3
2684	13	1
2685	13	4
